Timestamp_NY,total_num_bikes_available,Origin
2021-08-17 15:35:00-04:00,18139.58823529412,1
2021-08-17 15:40:00-04:00,18079.02857142857,1
2021-08-17 15:45:00-04:00,18058.695652173912,1
2021-08-17 15:50:00-04:00,18032.260869565216,1
2021-08-17 15:55:00-04:00,18102.652173913044,1
2021-08-17 16:00:00-04:00,18149.82608695652,1
2021-08-17 16:05:00-04:00,18130.414285714287,1
2021-08-17 16:10:00-04:00,18039.34782608696,1
2021-08-17 16:15:00-04:00,18027.666666666668,1
2021-08-17 16:20:00-04:00,18010.333333333332,1
2021-08-17 16:25:00-04:00,18019.942857142858,1
2021-08-17 16:30:00-04:00,17938.536231884056,1
2021-08-17 16:35:00-04:00,17880.7,1
2021-08-17 16:40:00-04:00,17873.884057971016,1
2021-08-17 16:45:00-04:00,17854.885714285716,1
2021-08-17 16:50:00-04:00,17818.32857142857,1
2021-08-17 16:55:00-04:00,17826.768115942028,1
2021-08-17 17:00:00-04:00,17802.871428571427,1
2021-08-17 17:05:00-04:00,17632.814285714285,1
2021-08-17 17:10:00-04:00,17537.64285714286,1
2021-08-17 17:15:00-04:00,17459.685714285715,1
2021-08-17 17:20:00-04:00,17369.114285714284,1
2021-08-17 17:25:00-04:00,17335.579710144928,1
2021-08-17 17:30:00-04:00,17396.0,1
2021-08-17 17:35:00-04:00,17452.414285714287,1
2021-08-17 17:40:00-04:00,17394.814285714285,1
2021-08-17 17:45:00-04:00,17257.957142857143,1
2021-08-17 17:50:00-04:00,17203.214285714286,1
2021-08-17 17:55:00-04:00,17250.64285714286,1
2021-08-17 18:00:00-04:00,17300.914285714287,1
2021-08-17 18:05:00-04:00,17270.585714285713,1
2021-08-17 18:10:00-04:00,17135.214285714286,1
2021-08-17 18:15:00-04:00,17037.114285714284,1
2021-08-17 18:20:00-04:00,17088.185714285715,1
2021-08-17 18:25:00-04:00,17169.614285714284,1
2021-08-17 18:30:00-04:00,17213.85714285714,1
2021-08-17 18:35:00-04:00,17244.371428571427,1
2021-08-17 18:40:00-04:00,17271.271428571432,1
2021-08-17 18:45:00-04:00,17216.97142857143,1
2021-08-17 18:50:00-04:00,17244.871428571427,1
2021-08-17 18:55:00-04:00,17365.457142857143,1
2021-08-17 19:00:00-04:00,17432.971014492752,1
2021-08-17 19:05:00-04:00,17417.014285714286,1
2021-08-17 19:10:00-04:00,17411.084507042255,1
2021-08-17 19:15:00-04:00,17450.84375,1
2021-08-17 19:20:00-04:00,17429.718309859156,1
2021-08-17 19:25:00-04:00,17483.394366197186,1
2021-08-17 19:30:00-04:00,17601.267605633802,1
2021-08-17 19:35:00-04:00,17619.871428571427,1
2021-08-17 19:40:00-04:00,17609.845070422536,1
2021-08-17 19:45:00-04:00,17663.242857142857,1
2021-08-17 19:50:00-04:00,17757.257142857143,1
2021-08-17 19:55:00-04:00,17836.661971830985,1
2021-08-17 20:00:00-04:00,17953.507042253517,1
2021-08-17 20:05:00-04:00,18063.942857142858,1
2021-08-17 20:10:00-04:00,18043.7323943662,1
2021-08-17 20:15:00-04:00,18057.442857142858,1
2021-08-17 20:20:00-04:00,18107.450704225357,1
2021-08-17 20:25:00-04:00,18251.742857142857,1
2021-08-17 20:30:00-04:00,18346.685714285715,1
2021-08-17 20:35:00-04:00,18449.901408450703,1
2021-08-17 20:40:00-04:00,18544.614285714284,1
2021-08-17 20:45:00-04:00,18613.371428571427,1
2021-08-17 20:50:00-04:00,18701.271428571432,1
2021-08-17 20:55:00-04:00,18721.257142857143,1
2021-08-17 21:00:00-04:00,18757.521126760563,1
2021-08-17 21:05:00-04:00,18793.08450704225,1
2021-08-17 21:10:00-04:00,18813.242857142857,1
2021-08-17 21:15:00-04:00,18840.771428571432,1
2021-08-17 21:20:00-04:00,18853.771428571432,1
2021-08-17 21:25:00-04:00,18866.52857142857,1
2021-08-17 21:30:00-04:00,18911.35714285714,1
2021-08-17 21:35:00-04:00,18920.9,1
2021-08-17 21:40:00-04:00,18927.3,1
2021-08-17 21:45:00-04:00,18960.753623188404,1
2021-08-17 21:50:00-04:00,18980.0,1
2021-08-17 21:55:00-04:00,18986.614285714284,1
2021-08-17 22:00:00-04:00,18966.3,1
2021-08-17 22:05:00-04:00,18990.371428571427,1
2021-08-17 22:10:00-04:00,19020.098591549297,1
2021-08-17 22:15:00-04:00,19060.2,1
2021-08-17 22:20:00-04:00,19117.271428571432,1
2021-08-17 22:25:00-04:00,19123.20588235294,1
2021-08-17 22:30:00-04:00,19166.058823529413,1
2021-08-17 22:35:00-04:00,19198.33823529412,1
2021-08-17 22:40:00-04:00,19235.073529411766,1
2021-08-17 22:45:00-04:00,19259.63235294117,1
2021-08-17 22:50:00-04:00,19303.0,1
2021-08-17 22:55:00-04:00,19369.686567164183,1
2021-08-17 23:00:00-04:00,19450.028985507248,1
2021-08-17 23:05:00-04:00,19442.420289855072,1
2021-08-17 23:10:00-04:00,19424.45588235294,1
2021-08-17 23:15:00-04:00,19464.86764705882,1
2021-08-17 23:20:00-04:00,19460.76119402985,1
2021-08-17 23:25:00-04:00,19484.289855072464,1
2021-08-17 23:30:00-04:00,19536.48529411765,1
2021-08-17 23:35:00-04:00,19617.1884057971,1
2021-08-17 23:40:00-04:00,19667.842857142856,1
2021-08-17 23:45:00-04:00,19718.071428571428,1
2021-08-17 23:50:00-04:00,19744.391304347828,1
2021-08-17 23:55:00-04:00,19784.840579710144,1
2021-08-18 00:00:00-04:00,19814.785714285714,1
2021-08-18 00:05:00-04:00,19823.27536231884,1
2021-08-18 00:10:00-04:00,19836.728571428568,1
2021-08-18 00:15:00-04:00,19859.304347826088,1
2021-08-18 00:20:00-04:00,19837.753623188404,1
2021-08-18 00:25:00-04:00,19849.91304347826,1
2021-08-18 00:30:00-04:00,19894.492753623188,1
2021-08-18 00:35:00-04:00,19947.681159420288,1
2021-08-18 00:40:00-04:00,19977.63768115942,1
2021-08-18 00:45:00-04:00,20010.536231884056,1
2021-08-18 00:50:00-04:00,20024.7,1
2021-08-18 00:55:00-04:00,20045.085714285717,1
2021-08-18 01:00:00-04:00,20067.043478260868,1
2021-08-18 01:05:00-04:00,20103.02857142857,1
2021-08-18 01:10:00-04:00,20121.05797101449,1
2021-08-18 01:15:00-04:00,20150.565217391304,1
2021-08-18 01:20:00-04:00,20169.536231884056,1
2021-08-18 01:25:00-04:00,20204.442857142858,1
2021-08-18 01:30:00-04:00,20247.628571428573,1
2021-08-18 01:35:00-04:00,20271.028985507248,1
2021-08-18 01:40:00-04:00,20290.35714285714,1
2021-08-18 01:45:00-04:00,20332.420289855072,1
2021-08-18 01:50:00-04:00,20391.7,1
2021-08-18 01:55:00-04:00,20424.536231884056,1
2021-08-18 02:00:00-04:00,20413.342857142856,1
2021-08-18 02:05:00-04:00,20424.32857142857,1
2021-08-18 02:10:00-04:00,20432.815384615384,1
2021-08-18 02:15:00-04:00,20452.81818181818,1
2021-08-18 02:20:00-04:00,20505.38571428572,1
2021-08-18 02:25:00-04:00,20530.441176470587,1
2021-08-18 02:30:00-04:00,20534.38571428572,1
2021-08-18 02:35:00-04:00,20546.6,1
